Protein,Status,logFC,AveExpr,t,P.Value,FDR,B,Protein.panel_3,Protein.panel
A1BG,M47_status,0.023312899,-0.004317105,4.612982054,3.98e-06,1.49e-05,3.236015528,Inflammation,Inflammation
ABHD14B,M47_status,0.048600304,0.017192844,3.050487553,0.002285875,0.005825294,-2.796119244,Other,Neurology
ACTN4,M47_status,0.030388075,0.027475654,3.482287518,0.000497569,0.001424481,-1.38958832,Inflammation,Inflammation
ADAMTSL5,M47_status,-0.032957637,-0.011710173,-3.027109884,0.002470445,0.006262888,-2.795126058,Cardiometabolic,Cardiometabolic
ADGRE1,M47_status,0.03547036,0.047206499,2.291379529,0.021946111,0.046216486,-4.741550245,Other,Oncology
AIF1,M47_status,0.055428371,-0.00094129,3.823325423,0.000131822,0.000414319,-0.147550227,Other,Oncology
AKR1B1,M47_status,0.051922519,-0.010002687,2.512778061,0.011981567,0.026653891,-4.284342459,Other,Oncology
AKR1B10,M47_status,0.06291115,0.039590816,3.674616868,0.000238492,0.000720319,-0.61930811,Other,Neurology
ALPI,M47_status,0.084577364,0.212829894,2.499713408,0.012433034,0.027510795,-4.236337262,Inflammation,Inflammation
AMFR,M47_status,0.054808362,0.075518675,3.084495722,0.00204008,0.005281197,-2.688674201,Other,Neurology
ANGPTL3,M47_status,0.038383972,-0.001662404,3.625259808,0.000288949,0.000857459,-0.892252024,Cardiometabolic,Cardiometabolic
APOBR,M47_status,0.041775188,-0.061203009,3.530927185,0.000414533,0.001200871,-1.136658853,Cardiometabolic,Cardiometabolic
APP,M47_status,0.0556529,0.032540912,3.043174051,0.002342149,0.00594796,-2.825004077,Other,Neurology
ARF6,M47_status,0.067549209,-0.054081788,2.282288492,0.022476999,0.047198469,-4.762254857,Other,Oncology
ARHGEF5,M47_status,0.075052904,0.087175496,3.631246339,0.000282381,0.00083882,-0.771479384,Other,Neurology
ARSB,M47_status,0.040767598,0.034761103,2.645427875,0.008161255,0.018887845,-3.949270422,Other,Oncology
ATP6V1G1,M47_status,0.047844803,0.046590127,2.356640331,0.018445495,0.039673424,-4.578714204,Cardiometabolic,Cardiometabolic
AZU1,M47_status,0.075591185,0.118872025,3.439224578,0.000583859,0.001655305,-1.531594975,Cardiometabolic,Cardiometabolic
BAG6,M47_status,0.02829002,0.023415408,2.786122348,0.005336259,0.012734341,-3.565280913,Cardiometabolic,Cardiometabolic
BAX,M47_status,0.063892527,0.043131147,2.583829355,0.009773809,0.022198013,-4.101676785,Other,Neurology
BCL2L15,M47_status,0.06591128,0.079940352,4.021858628,5.78e-05,0.000192992,0.705710187,Inflammation,Inflammation
BECN1,M47_status,0.039349233,0.061607873,2.295885805,0.021687133,0.045704029,-4.719452142,Cardiometabolic,Cardiometabolic
BID,M47_status,0.074493558,0.043224529,3.957963045,7.57e-05,0.000248039,0.368111517,Inflammation,Inflammation
BIRC2,M47_status,0.041551609,0.036938201,2.386960821,0.016991972,0.036763534,-4.591485328,Other,Oncology
BLNK,M47_status,0.036367464,0.026999283,3.324283653,0.000887192,0.002453417,-1.845373413,Inflammation,Inflammation
BOLA1,M47_status,0.035942111,0.035639054,2.342286894,0.019170475,0.040991441,-4.60454258,Other,Neurology
C1R,M47_status,0.015044511,0.007448784,2.848814053,0.004390248,0.010774723,-3.317755575,Inflammation,Inflammation
C1S,M47_status,0.025485279,-0.005849159,4.299685419,1.71e-05,6e-05,1.845995674,Inflammation,Inflammation
C2CD2L,M47_status,0.035411517,0.01402421,3.002762864,0.002676724,0.006750703,-2.936234474,Other,Neurology
C5,M47_status,0.019229213,0.000928054,4.596989124,4.3e-06,1.59e-05,3.162694082,Inflammation,Inflammation
C7orf50,M47_status,0.019229392,0.025659045,2.943788311,0.003243884,0.008104166,-3.038666196,Other,Neurology
CALCB,M47_status,0.035607968,0.040412296,3.239696797,0.001197443,0.003234867,-2.127642927,Other,Neurology
CASP1,M47_status,0.100736395,0.025602426,5.262592168,1.43e-07,6.37e-07,6.367110833,Other,Neurology
CASP8,M47_status,0.058473626,0.032717192,3.370436814,0.000751039,0.002102765,-1.783921721,Other,Oncology
CBLN4,M47_status,-0.041120585,-0.010883016,-4.671583722,3e-06,1.13e-05,3.428087113,Other,Oncology
CC2D1A,M47_status,0.05851155,0.062034781,2.795919851,0.005177154,0.012393792,-3.538759962,Other,Neurology
CCAR2,M47_status,0.039319879,0.102760145,2.578289013,0.009932261,0.022484076,-4.043620997,Other,Neurology
CCER2,M47_status,0.06081388,0.029632465,3.473333281,0.000514535,0.001470172,-1.337482114,Cardiometabolic,Cardiometabolic
CCL5,M47_status,0.153601159,-0.035633057,5.457365492,4.85e-08,2.26e-07,7.394486676,Cardiometabolic,Cardiometabolic
CD160,M47_status,0.060299943,0.018078463,4.636020107,3.56e-06,1.34e-05,3.263422615,Inflammation,Inflammation
CD164,M47_status,0.03013895,0.019146547,4.094418321,4.24e-05,0.000143734,0.912815234,Other,Neurology
CD2,M47_status,0.024620315,0.030739888,2.307259315,0.021045059,0.044447042,-4.692287347,Cardiometabolic,Cardiometabolic
CD200,M47_status,0.017737968,-0.000494924,2.360815994,0.018238483,0.039294711,-4.659792555,Inflammation,Inflammation
CD33,M47_status,0.075908838,-0.19625412,3.472090278,0.000516845,0.001475329,-1.435478691,Other,Oncology
CD7,M47_status,0.055668041,0.016573867,4.605844701,4.12e-06,1.53e-05,3.214618991,Inflammation,Inflammation
CDC26,M47_status,0.045160317,0.047155311,2.316192454,0.020552281,0.043500592,-4.684266533,Other,Oncology
CDC27,M47_status,0.043448422,0.080939271,2.583400612,0.009785959,0.022208352,-4.10502971,Other,Oncology
CEACAM3,M47_status,0.03198793,0.025059318,2.438099655,0.014768139,0.032262534,-4.468548351,Other,Oncology
CEBPA,M47_status,0.023939414,0.055659545,2.290223217,0.022013143,0.046324274,-4.735965249,Inflammation,Inflammation
CEBPB,M47_status,0.03080838,0.027741742,2.882434583,0.003947812,0.009770918,-3.293278989,Cardiometabolic,Cardiometabolic
CENPF,M47_status,-0.037434659,0.054011969,-2.389285889,0.016885347,0.036587006,-4.505328759,Other,Oncology
CEP20,M47_status,0.082408505,0.048975884,4.005737948,6.19e-05,0.000205416,0.563845177,Other,Oncology
CFHR4,M47_status,0.04524224,-0.10471569,2.25864607,0.023910199,0.049885448,-4.817391492,Inflammation,Inflammation
CGB3_CGB5_CGB8,M47_status,0.036323597,-0.005367493,2.954367844,0.003134731,0.0078516,-3.014632676,Inflammation,Inflammation
CHGB,M47_status,0.028606363,-0.002277572,2.440243192,0.014680705,0.032095513,-4.475094584,Other,Neurology
CHIT1,M47_status,0.185037186,-0.276716829,4.301895304,1.7e-05,5.95e-05,1.779247677,Cardiometabolic,Cardiometabolic
CIAPIN1,M47_status,0.043546861,0.002382184,2.500697627,0.012397966,0.027482848,-4.326220962,Other,Oncology
CKMT1A_CKMT1B,M47_status,0.061004039,0.003546782,3.296424049,0.000979905,0.002686926,-2.023993265,Inflammation,Inflammation
CLEC12A,M47_status,0.021615784,0.005617393,3.865821791,0.000110877,0.000352668,0.093033437,Inflammation,Inflammation
CLEC4G,M47_status,0.026208368,-0.000519944,2.786085355,0.005336834,0.012734341,-3.569225665,Inflammation,Inflammation
CLGN,M47_status,0.050064233,0.051700319,4.018169728,5.88e-05,0.000195812,0.696278484,Other,Neurology
CLU,M47_status,0.025507881,0.027279694,3.001616938,0.002686976,0.006770716,-2.872625467,Inflammation,Inflammation
CNDP1,M47_status,-0.039513307,-0.0502959,-3.104667834,0.001905956,0.004960917,-2.639958121,Cardiometabolic,Cardiometabolic
CNTNAP2,M47_status,0.029384481,0.000759463,2.507357939,0.012166802,0.027044534,-4.30434408,Inflammation,Inflammation
COL24A1,M47_status,0.041574193,-0.055823106,2.633332583,0.008458067,0.019497578,-3.903002146,Other,Oncology
COMMD1,M47_status,0.056417974,0.03714103,3.286012807,0.001016966,0.002783325,-1.967820102,Cardiometabolic,Cardiometabolic
COX6B1,M47_status,0.025280927,0.023116014,2.823593184,0.004750957,0.01154368,-3.388013142,Cardiometabolic,Cardiometabolic
CPB2,M47_status,0.01464598,-0.006325367,2.327190135,0.019959582,0.04249225,-4.661830379,Inflammation,Inflammation
CPOX,M47_status,0.017692369,0.01028577,2.323474442,0.020158264,0.042852804,-4.659579148,Inflammation,Inflammation
CPQ,M47_status,0.033054144,-0.011067726,3.223102635,0.00126901,0.003410947,-2.184529621,Cardiometabolic,Cardiometabolic
CPXM1,M47_status,0.05530326,0.026589912,2.915984999,0.003547199,0.008825731,-3.205404365,Other,Oncology
CR1,M47_status,0.03624903,0.008560427,3.606967685,0.000310134,0.000917532,-0.881626575,Inflammation,Inflammation
CRYBB1,M47_status,0.043988648,0.036790182,2.425123438,0.015307109,0.033290684,-4.429438934,Cardiometabolic,Cardiometabolic
CSF3R,M47_status,0.025353763,0.009672237,2.949803381,0.003181455,0.007961809,-3.015118946,Inflammation,Inflammation
CST7,M47_status,0.102066579,0.127281924,3.941749132,8.1e-05,0.00026335,0.300829035,Inflammation,Inflammation
CTSE,M47_status,0.040377379,0.011443468,2.758589493,0.005807548,0.013778784,-3.556736343,Inflammation,Inflammation
CWC15,M47_status,0.068441456,0.127508185,3.94848511,7.88e-05,0.000256965,0.409933569,Other,Oncology
CXCL5,M47_status,0.084353427,0.002514731,2.602780601,0.009249767,0.021155767,-4.062724148,Cardiometabolic,Cardiometabolic
DCC,M47_status,-0.023324183,0.008334836,-3.715790943,0.000202822,0.000619487,-0.467831305,Other,Neurology
DDI2,M47_status,-0.070749216,0.045342368,-3.185670041,0.001445204,0.003836812,-2.292805521,Inflammation,Inflammation
DDX39A,M47_status,0.01569982,0.008136352,2.500341832,0.012411002,0.027482848,-4.234772761,Inflammation,Inflammation
DDX58,M47_status,0.050739638,0.073775419,3.159027464,0.001583902,0.00416344,-2.458218327,Other,Oncology
DGCR6,M47_status,0.028875594,0.046967103,2.35262544,0.018645845,0.039957335,-4.580376797,Other,Neurology
DGKA,M47_status,0.047269634,0.048214529,3.124979978,0.001779341,0.004647911,-2.485302745,Inflammation,Inflammation
DHRS4L2,M47_status,0.030802016,0.065218705,2.359338706,0.018311814,0.039414898,-4.581936044,Other,Neurology
DIPK2B,M47_status,0.030320059,0.012498507,3.707862397,0.000209274,0.000636532,-0.50072489,Inflammation,Inflammation
DKK1,M47_status,0.068522072,-0.014867991,4.172461815,3.02e-05,0.000104157,1.230688892,Other,Neurology
DKKL1,M47_status,0.05714508,-0.157809091,2.355524626,0.018500314,0.039732857,-4.671623545,Other,Oncology
DNAJA2,M47_status,0.058933445,-0.025181007,2.592981036,0.009517469,0.021700127,-4.093704896,Inflammation,Inflammation
DPEP1,M47_status,-0.053652993,-0.061071095,-3.911124166,9.2e-05,0.000296445,0.187821317,Other,Neurology
EDAR,M47_status,-0.063961758,0.021837134,-2.53367747,0.011290199,0.025245899,-4.238237768,Inflammation,Inflammation
EEF1D,M47_status,0.059117147,0.049225452,2.28580828,0.022270125,0.046831349,-4.75625124,Cardiometabolic,Cardiometabolic
EIF4G1,M47_status,0.077883232,-0.064099309,2.819070227,0.004818114,0.011658401,-3.484886829,Inflammation,Inflammation
ENG,M47_status,-0.014896171,0.001717049,-3.12942392,0.001752459,0.00458589,-2.565336565,Cardiometabolic,Cardiometabolic
ENTPD5,M47_status,0.021454338,-0.013452977,3.618872053,0.000296178,0.000877132,-0.908041854,Cardiometabolic,Cardiometabolic
ENTR1,M47_status,0.054592176,0.100141508,3.244428644,0.001177751,0.003184613,-2.103015447,Cardiometabolic,Cardiometabolic
EP300,M47_status,0.022858518,0.004815794,2.693960586,0.00706356,0.016530653,-3.734026347,Inflammation,Inflammation
EPCAM,M47_status,0.085173419,0.063903991,3.155355534,0.001603949,0.004210578,-2.478300083,Inflammation,Inflammation
